File Path,Dependency,Current Version,Latest Version
~/Clients/CD/admityouhaveaproblem.com/package.json,@types/node,20.3.1,20.4.4
~/Clients/CD/admityouhaveaproblem.com/package.json,@types/react,18.2.14,18.2.15
~/Clients/CD/admityouhaveaproblem.com/package.json,@types/react-dom,18.2.6,18.2.7
~/Clients/CD/admityouhaveaproblem.com/package.json,eslint,8.43.0,8.45.0
~/Clients/CD/admityouhaveaproblem.com/package.json,eslint-config-next,13.4.7,13.4.12
~/Clients/CD/admityouhaveaproblem.com/package.json,html-react-parser,4.0.0,4.2.0
~/Clients/CD/admityouhaveaproblem.com/package.json,langchain,0.0.96,0.0.114
~/Clients/CD/admityouhaveaproblem.com/package.json,next,13.4.7,13.4.12
~/Clients/CD/admityouhaveaproblem.com/package.json,postcss,8.4.24,8.4.27
~/Clients/CD/admityouhaveaproblem.com/package.json,tailwindcss,3.3.2,3.3.3
~/Clients/CD/admityouhaveaproblem.com/package.json,typescript,5.1.3,5.1.6
